
2021-02-05 10:57:35 FEED MONEY:  10.0 10.0
2021-02-05 10:57:55 FEED MONEY:  5.0 15.0
2021-02-05 11:22:02 FEED MONEY:  1.0 1.0
2021-02-05 11:23:57 FEED MONEY:  1.0 1.0
2021-02-05 11:24:43 FEED MONEY:  1.0 1.0
2021-02-05 11:25:27 FEED MONEY:  1.0 1.0
2021-02-05 11:59:26 FEED MONEY:  5.0 5.0
2021-02-05 12:06:15 FEED MONEY:  5.0 5.0
2021-02-05 12:06:55 FEED MONEY:  5.0 5.0
2021-02-05 12:08:05 FEED MONEY:  5.0 5.0
2021-02-05 12:11:37 FEED MONEY:  5.0 5.0
2021-02-05 12:14:37 FEED MONEY:  5.0 5.0
2021-02-05 12:15:39 FEED MONEY:  5.0 5.0
2021-02-05 12:17:39 FEED MONEY:  5.0 5.0
2021-02-05 12:19:08 FEED MONEY:  5.0 5.0
2021-02-05 12:24:57 FEED MONEY:  5.0 5.0
2021-02-05 12:37:13 FEED MONEY:  5.0 5.0
2021-02-05 12:45:09 FEED MONEY:  5.0 5.0
2021-02-05 12:45:46 FEED MONEY:  5.0 5.0
2021-02-05 12:47:42 FEED MONEY:  5.0 5.0
2021-02-05 12:48:21 FEED MONEY:  5.0 5.0
2021-02-05 12:50:34 FEED MONEY:  5.0 5.0
2021-02-05 12:51:33 FEED MONEY:  5.0 5.0
2021-02-05 12:53:54 FEED MONEY:  5.0 5.0
2021-02-05 03:20:35 FEED MONEY:  5.0 5.0
2021-02-05 03:24:23 FEED MONEY:  5.0 5.0
2021-02-05 03:28:57 FEED MONEY:  5.0 5.0
2021-02-05 03:32:08 FEED MONEY:  5.0 5.0
2021-02-05 03:36:31 FEED MONEY:  5.0 5.0
2021-02-05 04:04:39 FEED MONEY:  5.0 5.0
2021-02-05 04:07:49 FEED MONEY:  5.0 5.0
2021-02-05 04:11:16 FEED MONEY:  2.0 2.0
2021-02-05 04:13:45 FEED MONEY:  2.0 2.0
2021-02-05 04:21:42 FEED MONEY:  5.0 5.0
2021-02-05 04:31:51 FEED MONEY:  2.0 2.0
2021-02-05 04:36:07 FEED MONEY:  5.0 5.0
2021-02-05 04:38:38 FEED MONEY:  2.0 2.0
2021-02-05 04:39:37 FEED MONEY:  2.0 2.0
2021-02-05 04:41:51 FEED MONEY:  5.0 5.0
2021-02-05 04:42:39 FEED MONEY:  5.0 5.0
2021-02-05 04:49:48 FEED MONEY:  2.0 2.0
2021-02-05 04:50:25 FEED MONEY:  2.0 2.0
2021-02-05 04:52:11 FEED MONEY:  2.0 2.0
2021-02-05 04:54:28 FEED MONEY:  2.0 2.0
2021-02-05 04:54:38 FEED MONEY:  5.0 7.0
2021-02-05 05:00:42 FEED MONEY:  2.0 2.0
2021-02-05 05:03:41 FEED MONEY:  5.0 5.0
